Description,,Summary Amt.
Beginning balance as of 11/17/2022,,"8,323.28"
Total credits,,"13,777.27"
Total debits,,"-21,444.77"
Ending balance as of 05/17/2024,,"655.78"

Date,Description,Amount,Running_Bal
12/22/2023,RAISING CANES 12/20 MOBILE PURCHASE IRVING TX,-13.75,"1,331.33"
01/09/2024,LOUIS VUITTON 01/09 PURCHASE Dallas TX,-550.00,"780.33"
01/16/2024,Zelle payment from LAURA JOHNSON Conf# c2xw8tk18,20.00,"1,906.08"
01/16/2024,NICK & SAM'S 01/13 PURCHASE Dallas TX,-215.60,"1,690.48"
01/17/2024,THE GALLERIA 01/16 PURCHASE HOUSTON TX,-89.99,"1,600.49"
01/17/2024,APPLE STORE 01/17 PURCHASE Dallas TX,-999.00,"601.49"
01/22/2024,APPLE.COM/BILL 01/21 PURCHASE XXXXX27753 CA,-0.99,"600.50"
01/22/2024,LOCHLANDS 01/20 PURCHASE PLANO TX,-72.50,"528.00"
01/23/2024,WHATABURGER 01/22 MOBILE PURCHASE ARLINGTON TX,-8.99,"519.01"
01/23/2024,QT 880 01/22 MOBILE PURCHASE FORT WORTH TX,-22.40,"496.61"
01/24/2024,CHIPOTLE MEXICAN GRILL 01/23 PURCHASE DALLAS TX,-11.75,"484.86"
01/25/2024,WILLIAMS SONOMA 01/24 PURCHASE FORT WORTH TX,-78.30,"406.56"
01/26/2024,LYFT RIDE 01/25 PURCHASE DALLAS TX,-17.50,"389.06"
01/27/2024,UBER EATS 01/26 PURCHASE ARLINGTON TX,-25.90,"363.16"
01/28/2024,WHISKEY CAKE 01/27 PURCHASE PLANO TX,-65.75,"297.41"
01/29/2024,IN-N-OUT BURGER 01/28 MOBILE PURCHASE DALLAS TX,-15.27,"282.14"
01/30/2024,THE SHOPS AT LEGACY 01/29 PURCHASE PLANO TX,-200.00,"82.14"
01/31/2024,VENMO PAYMENT TO SarahDoe CONF# b4f5t8u,-75.00,"7.14"
02/01/2024,PAYPAL *RETAILER 02/01 PURCHASE XXXXX4321 CA,-15.00,"-7.86"
02/02/2024,Zelle payment from MICHAEL LEE Conf# f3jk4lm2,30.00,"22.14"
02/03/2024,GRAND LUX CAFE 02/02 PURCHASE DALLAS TX,-65.99,"-43.85"
02/04/2024,BUC-EE'S 02/03 PURCHASE FORT WORTH TX,-48.67,"-92.52"
02/05/2024,PAYPAL *RETAILER 02/04 PURCHASE XXXXX87654 TX,-32.99,"-125.51"
02/06/2024,THE RUSTIC 02/05 PURCHASE DALLAS TX,-89.45,"-214.96"
02/07/2024,EL FENIX 02/06 PURCHASE DALLAS TX,-35.20,"-250.16"
02/08/2024,THE NORTH FACE 02/07 PURCHASE DALLAS TX,-159.00,"-409.16"
02/09/2024,STARBUCKS 02/08 PURCHASE IRVING TX,-6.75,"-415.91"
02/10/2024,CANTINA LAREDO 02/09 PURCHASE DALLAS TX,-47.38,"-463.29"
02/11/2024,H&M 02/10 PURCHASE FORT WORTH TX,-76.50,"-539.79"
02/12/2024,P.F. CHANG'S 02/11 PURCHASE DALLAS TX,-98.99,"-638.78"
02/13/2024,LYFT RIDE 02/12 PURCHASE ARLINGTON TX,-18.80,"-657.58"
02/14/2024,FOGO DE CHAO 02/13 PURCHASE DALLAS TX,-145.00,"-802.58"
02/15/2024,DICK'S SPORTING GOODS 02/14 PURCHASE FORT WORTH TX,-223.75,"-1,026.33"
02/16/2024,Zelle payment from LINDA WILLIAMS Conf# k9lg8mj4,50.00,"-976.33"
02/17/2024,P.F. CHANG'S 02/16 PURCHASE IRVING TX,-83.49,"-1,059.82"
12/11/2023,AMZN DIGITAL*P21T 12/09 PURCHASE XXXXX61072 WA,-21.66,"1,532.10"
12/19/2023,CHICKEN N PICKLE 12/19 MOBILE PURCHASE Dallas TX,-13.50,"1,518.60"
12/20/2023,TARGET 12/20 PURCHASE DALLAS TX,-45.00,"1,473.60"
12/21/2023,SPOTIFY.COM 12/21 PURCHASE XXXXX12345 NY,-9.99,"1,463.61"
12/21/2023,DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB,-26.58,"1,437.03"
12/22/2023,PANDA EXPRESS 12/20 MOBILE PURCHASE IRVING TX,-10.80,"1,426.23"
01/09/2024,ZARA 01/09 PURCHASE New York NY,-78.00,"1,348.23"
01/16/2024,Zelle payment from LAURA JOHNSON Conf# c2xw8tk18,20.00,"2,574.98"
01/16/2024,URBAN OUTFITTERS 01/13 PURCHASE XXXXX61072 PA,-54.75,"2,520.23"
01/17/2024,BURGER KING 01/16 PURCHASE HOUSTON TX,-9.15,"2,511.08"
01/17/2024,GAP 01/17 PURCHASE XXXXX46291 CA,-60.00,"2,451.08"
01/22/2024,APPLE.COM/BILL 01/21 PURCHASE XXXXX27753 CA,-0.99,"2,450.09"
01/22/2024,NORDSTROM 01/20 PURCHASE XXXXX61072 WA,-95.00,"2,355.09"
01/23/2024,SUBWAY 01/22 MOBILE PURCHASE IRVING TX,-8.50,"2,346.59"
01/23/2024,QT 880 01/22 MOBILE PURCHASE DALLAS TX,-32.40,"2,314.19"
01/24/2024,PEETS COFFEE 01/23 PURCHASE SAN FRANCISCO CA,-6.75,"2,307.44"
01/25/2024,BEST BUY 01/24 PURCHASE LOS ANGELES CA,-127.45,"2,179.99"
01/26/2024,UBER EATS 01/25 PURCHASE SAN JOSE CA,-24.90,"2,155.09"
01/27/2024,LYFT RIDE 01/26 PURCHASE SAN FRANCISCO CA,-20.50,"2,134.59"
01/28/2024,ASOS.COM 01/27 PURCHASE XXXXX61072 WA,-48.99,"2,085.60"
01/29/2024,TACO BELL 01/28 MOBILE PURCHASE AUSTIN TX,-11.27,"2,074.33"
01/30/2024,H&M 01/29 PURCHASE LOS ANGELES CA,-88.50,"1,985.83"
01/31/2024,VENMO PAYMENT TO SarahDoe CONF# b4f5t8u,-75.00,"1,910.83"
02/01/2024,PAYPAL *RETAILER 02/01 PURCHASE XXXXX4321 CA,-15.00,"1,895.83"
02/02/2024,Zelle payment from MICHAEL LEE Conf# f3jk4lm2,30.00,"1,925.83"
02/03/2024,NETFLIX.COM 02/02 PURCHASE XXXXX45678 CA,-12.99,"1,912.84"
02/04/2024,AMZN DIGITAL*RT4T 02/03 PURCHASE XXXXX61072 WA,-21.66,"1,891.18"
02/05/2024,STARBUCKS 02/04 PURCHASE BOSTON MA,-6.85,"1,884.33"
02/06/2024,HOME DEPOT 02/05 PURCHASE MIAMI FL,-75.25,"1,809.08"
02/07/2024,CHIPOTLE 02/06 PURCHASE ATLANTA GA,-12.25,"1,796.83"
02/08/2024,BLUE BOTTLE COFFEE 02/07 PURCHASE NEW YORK NY,-11.75,"1,785.08"
02/09/2024,COSTCO WHOLESALE 02/08 PURCHASE HOUSTON TX,-105.50,"1,679.58"
02/10/2024,AMZN DIGITAL*P21T 02/09 PURCHASE XXXXX61072 WA,-21.66,"1,657.92"
02/11/2024,OLIVE GARDEN 02/10 PURCHASE AUSTIN TX,-35.49,"1,622.43"
02/12/2024,PRIME VIDEO 02/11 PURCHASE XXXXX98765 CA,-12.99,"1,609.44"
02/13/2024,UBER RIDE 02/12 PURCHASE SAN JOSE CA,-18.80,"1,590.64"
02/14/2024,EBAY PURCHASE 02/13 PURCHASE XXXXX87654 TX,-42.99,"1,547.65"
02/15/2024,KROGER 02/14 PURCHASE CHICAGO IL,-63.75,"1,483.90"
02/16/2024,Zelle payment from LINDA WILLIAMS Conf# k9lg8mj4,50.00,"1,533.90"
02/17/2024,EBAY PURCHASE 02/16 PURCHASE XXXXX4321 CA,-37.50,"1,496.40"
02/18/2024,AMZN DIGITAL*RT4T 02/17 PURCHASE XXXXX61072 WA,-21.66,"1,474.74"
02/19/2024,HULU.COM 02/18 PURCHASE XXXXX45678 CA,-12.99,"1,461.75"
02/20/2024,KFC 02/19 PURCHASE HOUSTON TX,-8.75,"1,453.00"
02/21/2024,UBER RIDE 02/20 PURCHASE SAN FRANCISCO CA,-17.50,"1,435.50"
02/22/2024,APPLE.COM/BILL 02/21 PURCHASE XXXXX27753 CA,-0.99,"1,434.51"
02/23/2024,WALGREENS 02/22 PURCHASE LOS ANGELES CA,-27.50,"1,407.01"
02/24/2024,DUNKIN' DONUTS 02/23 PURCHASE BOSTON MA,-7.45,"1,399.56"
02/25/2024,WALMART SUPERCENTER 02/24 PURCHASE DALLAS TX,-65.78,"1,333.78"
02/26/2024,PAYPAL *RETAILER 02/25 PURCHASE XXXXX4321 CA,-23.00,"1,310.78"
02/27/2024,LYFT RIDE 02/26 PURCHASE SAN JOSE CA,-18.50,"1,292.28"
02/28/2024,CHICK-FIL-A 02/27 PURCHASE ATLANTA GA,-9.99,"1,282.29"
02/29/2024,AMZN DIGITAL*R08F 02/28 PURCHASE XXXXX61072 WA,-21.66,"1,260.63"
03/01/2024,PEET'S COFFEE 02/29 PURCHASE BOSTON MA,-5.45,"1,255.18"
03/02/2024,LOWE'S 03/01 PURCHASE MIAMI FL,-95.25,"1,159.93"
03/03/2024,Zelle payment from RACHEL GREEN Conf# q8js5mz7,75.00,"1,234.93"
03/04/2024,WIRE TRANSFER TO BANK OF AMERICA DES:TRANSFER ID:87654321 TO ACCT:XXXXXX7890,-500.00,"734.93"
03/05/2024,TRANSFER TO SAVINGS ACCOUNT DES:TRANSFER ID:12345678 TO ACCT:XXXXXX5678,-200.00,"534.93"
03/06/2024,TRANSFER TO XYZ BUSINESS DES:PAYMENT ID:34567890 TO ACCT:XXXXXX2345,-150.00,"384.93"
03/07/2024,WIRE TRANSFER TO CHASE BANK DES:TRANSFER ID:98765432 TO ACCT:XXXXXX6789,-300.00,"84.93"
03/08/2024,DINGTEA OF ARLING 03/08 MOBILE PURCHASE ARLINGTON TX,-5.00,"79.93"
03/09/2024,SQ *EL CHINGONCUT 03/14 PURCHASE ARLINGTON TX,-42.00,"58.27"
